word_count	path	year_folder
365	DES, 26 2009-Durgha; Ibu Bumi.txt	2009
248	DES, 26 2009-Kali Sengsara.txt	2009
434	DES, 26 2009-Lumut-lumut Watulumbang (51) bape joh bape paek.txt	2009
483	DES, 26 2009-Madedagangan.txt	2009
179	DES, 26 2009-PIKOBET DAFTAR PEMILIH TETAP NGWARNAIN PILKADA.txt	2009
321	DES, 26 2009-Sakti, Satru.txt	2009
1119	DES, 27 2009-Menang.txt	2009
171	DES, 28 2009-MAKELINGIN HARI IBU, PADANG SAMBIAN KAJA NGWENTENANG JALAN SANTAI.txt	2009
202	DES, 28 2009-NGABEN MASSAL RING KELURAHAN DAUH PURI.txt	2009
240	DES, 28 2009-NYELEHIN BOBOT PAKARYAN, PHDI KLUNGKUNG NGWENTENANG LOKASABHA.txt	2009
280	DES, 3 2009-DESA SAJEBAG-BALI SAMIAN NERIMA PUAP RING WARSA 2010.txt	2009
242	DES, 3 2009-NGENTEG LINGGIH RING PURA BANUA SEGARA PEGONJONGAN.txt	2009
328	DES, 3 2009-PAKELING HARI BAKTI PU KAPING-64 NGURATIANG KK MISKIN.txt	2009
239	DES, 4 2009-NYANGLING LAN NGINGSAH BERAS RING PURA ULUN DANU BATUR.txt	2009
206	DES, 4 2009-PARA ISTRI LAN LANANGE PATUT IMBANG.txt	2009
652	DES, 5 2009-Dongkang.txt	2009
249	DES, 7 2009-DEKRANASDA BANGLI NYERAHANG WANTUAN PENGRAJIN.txt	2009
233	DES, 7 2009-IWABA KATON AYU SARENG YAYASAN KECANTIKAN AGUNG.txt	2009
193	DES, 7 2009-MALUKAT SARENG SARENG RING PASISI MERTASARI.txt	2009
201	DES, 7 2009-PAURUKAN MEDITASI KUNDALINI SAKTI.txt	2009
235	DES, 8 2009-ASRAM RATU BAGUS NGLAKSANAYANG UPACARA DIKSA PARIKSA.txt	2009
205	DES, 8 2009-LAYANGAN KHAS BALI KANTUN KASENENGIN ANTUK WISATAWAN.txt	2009
216	DES, 8 2009-LPD DESA ADAT PECATU NGLAKSANAYANG JALAN SEHAT.txt	2009
201	DES, 8 2009-PENATARAN BENDESA ADAT SAWEWENGKON-BADUNG.txt	2009
144	DES, 8 2009-PERTANIAN ORGANIK, INDUSTRI HULU NGANTOS HILIR.txt	2009
237	DES, 8 2009-UPACARA NGADEGANG PEDAGINGAN PURA ULUN DANU BATUR.txt	2009
209	DES, 9 2009-TAN KIRANG SASEPELAN PANGAN, KLUNGKUNG NGWENTENANG „RAPAT KETAHANAN PANGAN.txt	2009
1304	FEB, 1 2009-Dalem Pingit.txt	2009
1029	FEB, 15 2009-Baliho.txt	2009
1253	FEB, 15 2009-Kebaya.txt	2009
661	FEB, 21 2009-Ni Bawang Teken Ni Kesuna.txt	2009
1050	JAN, 11 2009-Tatik.txt	2009
1010	JAN, 18 2009-John.txt	2009
1191	JAN, 25 2009-Nyentana.txt	2009
1047	JAN, 4 2009-Mouse.txt	2009
1237	JUN, 14 2009-Sarah.txt	2009
951	JUN, 7 2009-Luh Lastri.txt	2009
